This file was created by CMPT_ME_BEME_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 CF/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  CF/P is cashflow (earnings before extraordinary plus deferred tax income statement plus common equitys
 share of depreciation) at the last fiscal year end of the prior calendar year divided by ME at the end of December of the prior year.  Firms with negative
CF/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
,SMALL LoCFP,ME1 CFP2,SMALL HiCFP,BIG LoCFP,ME2 CFP2,BIG HiCFP
196703,   6.98,   6.68,   5.97,   3.99,   4.16,   5.53
196704,   5.79,   3.89,   4.21,   5.96,   2.79,   3.90
196705,  -1.91,  -1.46,  -1.43,  -4.96,  -4.23,  -3.09
196706,  11.70,   7.88,   7.89,   2.02,   1.32,   3.07
196707,   7.03,   7.85,   9.44,   4.23,   4.48,   6.78
196708,  -1.89,   0.74,   0.80,  -0.58,  -1.18,  -0.22
196709,   7.20,   4.83,   5.17,   3.93,   2.90,   1.88
196710,   0.47,  -3.09,  -3.86,  -0.99,  -3.44,  -5.47
196711,   0.46,   1.26,   0.10,   1.83,  -0.35,  -0.63
196712,  12.11,   6.38,   7.37,   1.76,   3.29,   4.97
196801,  -3.24,   0.98,   2.86,  -6.29,  -2.25,  -2.30
196802,  -8.24,  -5.86,  -4.17,  -2.98,  -2.76,  -3.18
196803,  -2.01,  -1.31,  -0.07,   2.17,  -0.79,   0.70
196804,  18.20,  13.14,  14.18,  10.49,   6.11,   9.65
196805,  10.50,   7.94,   9.24,   2.36,   0.57,   2.59
196806,  -0.90,   1.05,   1.73,   0.21,   2.34,  -0.04
196807,  -5.72,  -3.06,  -1.40,  -5.32,  -1.78,   2.49
196808,   3.58,   3.31,   5.00,   1.10,   1.34,   1.97
196809,   8.11,   6.75,   6.20,   2.48,   5.07,   4.46
196810,  -0.84,   1.10,   2.39,  -1.43,   1.93,   2.75
196811,   8.17,   7.83,   7.44,   6.53,   3.92,   6.51
196812,   0.71,  -0.21,  -1.34,  -5.11,  -3.39,  -3.55
196901,  -1.86,  -1.40,  -0.24,  -2.07,   0.06,  -0.23
196902, -10.81,  -7.84,  -7.40,  -4.16,  -4.70,  -4.86
196903,   3.61,   1.86,   3.07,   4.27,   2.34,   3.28
196904,   1.35,   1.31,   0.49,   3.66,   1.08,   1.78
196905,  -0.06,   0.56,   0.34,  -0.18,  -0.84,   2.44
196906, -12.81, -10.85, -10.51,  -2.61,  -7.16,  -7.73
196907, -11.41,  -9.24,  -7.63,  -4.58,  -6.45,  -7.04
196908,   7.41,   4.96,   4.16,   7.12,   4.71,   3.07
196909,  -0.43,  -2.52,  -1.92,   0.13,  -3.52,  -4.58
196910,  11.34,   7.80,   6.48,   6.46,   6.46,   2.95
196911,  -5.44,  -4.82,  -6.12,  -1.98,  -3.62,  -3.70
196912,  -5.29,  -4.85,  -5.74,   1.11,  -2.14,  -3.46
197001,  -5.88,  -4.83,  -2.95,  -8.03,  -7.46,  -7.86
197002,   2.99,   3.82,   4.71,   3.97,   6.94,   7.41
197003,  -5.24,  -0.94,   0.33,  -2.38,   0.48,   1.96
197004, -21.32, -12.85, -10.91, -10.67, -10.27,  -7.62
197005, -11.49,  -9.91,  -8.00,  -8.27,  -6.97,  -2.37
197006,  -9.70,  -6.50,  -5.56,  -5.60,  -4.17,  -4.88
197007,   7.16,   7.09,   6.44,   4.92,   9.17,   9.41
197008,   6.57,   5.99,   7.70,   3.91,   4.21,   7.00
197009,  16.51,  11.16,   9.80,   7.03,   1.44,   1.60
197010,  -7.42,  -5.83,  -4.78,  -0.86,  -2.67,  -0.28
197011,  -0.48,   2.72,   2.73,   4.82,   6.65,   5.32
197012,   7.56,   9.56,  10.03,   5.21,   7.46,   5.55
197101,  11.30,  11.76,  11.73,   4.11,   6.23,   2.59
197102,   4.54,   2.94,   3.40,   2.38,  -0.74,   2.65
197103,   8.38,   5.83,   4.43,   6.03,   3.15,   2.65
197104,   3.77,   2.94,   3.85,   3.28,   2.72,   4.95
197105,  -4.49,  -5.06,  -4.87,  -2.81,  -3.94,  -4.47
197106,   0.55,  -1.34,  -1.71,   1.03,   1.02,  -1.22
197107,  -6.68,  -4.74,  -5.02,  -4.42,  -3.76,  -3.57
197108,   4.62,   4.46,   5.02,   5.84,   3.70,   1.51
197109,   0.54,  -1.23,  -0.71,   0.55,  -1.08,  -1.77
197110,  -5.92,  -4.41,  -6.15,  -3.32,  -4.24,  -4.36
197111,  -2.02,  -3.31,  -2.86,   1.01,  -0.91,  -0.25
197112,  13.42,  11.34,  12.19,   9.00,   9.33,   8.34
197201,  10.18,   6.84,   8.27,   2.36,   1.35,   2.19
197202,   4.65,   3.20,   3.26,   4.55,   2.08,   1.07
197203,   0.87,   1.15,  -0.69,   2.53,   0.62,  -2.55
197204,   1.08,   0.33,   0.44,   1.05,   0.43,  -0.78
197205,  -0.66,  -1.98,  -2.23,   2.99,  -0.40,   2.24
197206,  -3.10,  -2.18,  -3.23,  -1.09,  -2.57,  -3.37
197207,  -5.04,  -2.85,  -2.13,   1.02,  -1.48,  -0.95
197208,  -0.89,   2.56,   2.18,   0.28,   6.07,   8.15
197209,  -3.46,  -2.99,  -2.84,   0.14,  -2.67,  -0.01
197210,  -3.63,  -0.24,  -0.06,   0.66,   1.48,   1.56
197211,   3.43,   5.64,   7.54,   1.77,   7.03,   8.54
197212,  -0.99,  -1.35,  -1.70,   3.24,  -1.11,   0.03
197301,  -8.30,  -4.70,  -3.36,  -1.96,  -5.46,  -0.22
197302, -11.05,  -7.27,  -6.30,  -2.95,  -3.92,  -5.06
197303,  -3.97,  -2.92,  -1.10,  -1.04,  -0.70,   0.80
197304, -10.56,  -6.15,  -4.40,  -6.44,  -4.26,  -1.19
197305,  -9.90,  -7.70,  -6.62,  -0.47,  -1.88,  -3.08
197306,  -5.33,  -3.15,  -2.60,  -0.50,  -2.02,  -0.24
197307,  18.13,  10.18,   9.25,   6.69,   3.15,   2.51
197308,  -3.53,  -5.10,  -4.77,  -3.47,  -2.38,  -2.69
197309,  10.85,   9.46,   8.77,   1.46,   9.16,   9.08
197310,  -1.87,   0.45,   0.17,   0.17,   0.13,  -1.70
197311, -22.09, -18.04, -16.59, -11.69, -12.47,  -9.96
197312,  -2.94,  -0.97,  -1.66,  -1.58,   5.00,   5.54
197401,   7.54,   9.88,  12.51,  -1.59,  -0.76,   2.18
197402,  -0.51,   0.72,   2.30,  -1.23,   0.77,   2.13
197403,  -0.50,   0.30,   0.32,  -1.89,  -3.00,  -2.93
197404,  -7.04,  -4.77,  -3.88,  -3.62,  -5.58,  -4.73
197405,  -8.14,  -7.17,  -6.41,  -1.83,  -5.84,  -2.99
197406,  -3.69,  -2.07,  -0.78,  -2.20,  -2.21,  -1.11
197407,  -6.08,  -4.13,  -3.17, -10.19,  -2.61,  -7.25
197408,  -9.34,  -7.83,  -7.38, -10.25,  -6.66,  -4.75
197409, -11.11,  -7.52,  -7.70, -14.09,  -6.62,  -8.32
197410,  12.44,   8.88,   7.56,  22.05,  14.05,   2.89
197411,  -4.00,  -5.13,  -5.25,  -3.94,  -3.53,  -4.88
197412,  -6.72,  -5.41,  -7.44,  -3.58,  -0.20,  -0.81
197501,  24.59,  26.83,  29.22,  10.40,  15.25,  22.49
197502,   6.63,   4.52,   2.11,   8.45,   3.47,   2.00
197503,   6.79,   6.39,   9.46,   3.13,   0.93,   6.68
197504,   4.85,   4.76,   3.18,   5.50,   3.33,   4.85
197505,   9.14,   7.43,   6.78,   5.21,   6.59,   3.23
197506,   7.42,   6.48,   6.83,   4.08,   6.39,   7.67
197507,  -2.71,  -2.84,  -1.99,  -8.23,  -4.08,  -4.82
197508,  -4.11,  -4.62,  -5.82,  -2.87,  -1.09,  -0.72
197509,  -4.14,  -3.26,  -3.14,  -4.78,  -1.68,  -3.41
197510,   1.23,   3.24,   2.48,   7.86,   4.87,   3.13
197511,   1.42,   2.82,   3.64,   3.72,   2.12,   3.70
197512,  -1.10,  -1.00,  -0.50,  -2.45,   0.55,   0.72
197601,  15.92,  18.09,  22.12,  11.10,  11.56,  18.92
197602,   6.08,   7.95,  10.83,  -1.75,   1.13,   2.81
197603,   1.89,   1.10,   1.44,   2.92,   3.13,   1.67
197604,  -1.42,  -0.72,  -1.07,  -2.34,   0.62,  -0.08
197605,  -1.70,  -1.67,  -2.66,  -1.79,   0.38,   0.09
197606,   3.79,   3.56,   3.92,   4.76,   4.31,   5.89
197607,  -0.44,   0.83,   0.18,  -1.12,  -0.75,   0.46
197608,  -3.45,  -0.93,  -1.61,  -0.24,   0.46,   0.49
197609,   2.49,   2.72,   3.46,   1.30,   3.60,   4.09
197610,  -2.73,  -1.22,  -2.35,  -2.41,  -2.35,  -0.73
197611,   3.68,   3.25,   3.87,  -0.88,   1.18,   2.31
197612,   9.74,   9.68,   9.36,   4.27,   6.96,   6.53
197701,   0.13,   1.80,   3.48,  -7.65,  -2.11,  -0.53
197702,  -1.77,  -0.92,   0.48,  -1.51,  -2.55,  -0.79
197703,   0.23,   0.36,   0.71,  -1.34,  -1.15,  -0.85
197704,   1.05,   0.56,   2.59,  -1.86,   2.08,   2.14
197705,  -0.56,   0.72,   0.40,  -2.29,  -0.35,  -0.07
197706,   7.26,   6.27,   6.73,   5.94,   4.41,   3.60
197707,  -0.12,   0.42,   0.30,  -1.00,  -1.80,  -1.77
197708,   1.15,  -0.78,  -1.51,   1.07,  -3.25,  -3.13
197709,   0.95,   1.42,   1.71,  -1.21,  -0.06,   2.43
197710,  -2.89,  -2.01,  -1.89,  -4.45,  -3.62,  -3.93
197711,   7.63,   7.46,   8.51,   4.23,   4.14,   3.33
197712,   2.61,   1.77,   2.02,   0.15,   0.70,   0.97
197801,  -3.76,  -3.31,  -2.14,  -5.99,  -5.84,  -5.74
197802,   1.47,   2.42,   2.58,  -2.87,  -1.27,   1.38
197803,   7.02,   5.98,   6.89,   2.09,   3.06,   4.09
197804,   8.74,   7.71,   7.96,  11.41,   7.09,   5.69
197805,   6.92,   5.93,   6.04,   1.97,   1.93,   0.53
197806,   0.42,   0.09,   0.07,  -0.91,  -1.89,  -1.83
197807,   6.34,   5.37,   5.75,   7.09,   4.69,   4.50
197808,   8.17,   8.09,   9.24,   3.43,   4.22,   3.65
197809,  -1.35,  -1.66,  -0.05,  -2.88,   0.26,   1.05
197810, -21.61, -18.24, -20.25,  -9.44, -10.28,  -9.64
197811,   7.50,   5.62,   5.46,   2.53,   3.59,   3.46
197812,   2.98,   2.18,   2.14,   2.74,   0.55,   1.03
197901,   8.25,   7.65,   9.67,   3.33,   5.48,   4.74
197902,  -3.13,  -2.50,  -1.87,  -4.10,  -2.40,  -2.14
197903,  10.09,   8.51,   9.63,   5.17,   6.31,   6.54
197904,   1.62,   2.52,   4.01,   0.26,  -0.15,   1.34
197905,  -2.40,  -1.38,   0.94,  -2.05,  -0.91,  -1.48
197906,   5.46,   5.68,   5.89,   2.65,   6.32,   4.84
197907,   2.82,   3.34,   3.38,  -0.01,   2.38,   1.96
197908,   8.39,   7.44,   8.28,   6.37,   5.83,   5.73
197909,   0.87,  -0.79,  -1.38,  -2.06,   1.10,   0.97
197910,  -9.45,  -9.83, -11.78,  -6.87,  -6.72,  -6.27
197911,  10.45,   6.62,   7.32,   5.79,   6.06,   5.44
197912,   7.52,   4.71,   6.89,   2.13,   2.20,   1.48
198001,   8.16,   6.45,   9.48,   2.77,   6.71,   8.06
198002,  -0.96,  -2.90,  -1.86,  -4.59,   1.68,   1.91
198003, -18.91, -15.26, -18.40,  -7.33, -11.45, -11.81
198004,   6.74,   6.14,   4.74,   4.12,   6.06,   4.25
198005,   7.94,   7.97,   8.32,   5.74,   6.10,   5.13
198006,   4.65,   4.68,   4.89,   3.01,   3.18,   3.43
