This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200611,   2.7790,   2.0989,   2.3068,   3.8900,   3.0360,   3.2293
200612,   1.5612,   1.5383,   0.8457,   0.6663,   0.7276,  -0.1616
200701,   2.8604,   0.8085,   2.1527,   2.7710,   2.4609,   3.6142
200702,   0.6002,  -0.0568,  -0.4138,   0.7596,  -0.0084,  -0.3008
200703,  -0.1125,   0.4866,   0.6433,   0.9437,   1.3826,   1.0564
200704,   2.4393,   0.6596,   2.0681,   3.9841,   3.3767,   4.8085
200705,   0.8564,   3.4084,   3.5952,   3.5999,   4.0889,   4.3567
200706,  -0.3590,  -0.7438,   0.2394,  -1.3979,  -1.6797,  -1.6446
200707,  -4.6673,  -5.8091,  -6.5784,  -4.1097,  -4.1674,  -3.4864
200708,  -2.0042,   1.0104,  -2.3590,  -0.2434,   0.1144,  -0.0505
200709,   1.5600,   0.8493,   0.2780,   3.3246,   2.5408,   3.2163
200710,   1.0609,   0.1890,   0.7660,   1.5075,   1.7906,   2.2654
200711, -10.1222,  -6.5460,  -9.5195,  -6.9249,  -5.0097,  -4.4613
200712,  -1.9384,  -1.1856,  -0.4593,  -2.4116,  -1.1332,  -0.6841
200801,  -5.9710,  -3.5098,  -4.5748,  -5.9824,  -4.2670,  -4.9672
200802,  -2.9418,  -3.0173,  -2.4696,  -3.4335,  -3.5513,  -1.0836
200803,  -3.6408,  -0.0259,  -1.6300,  -1.7365,  -2.2876,  -1.9948
200804,   0.9318,   2.1811,   2.5667,   5.8939,   6.6495,   5.4047
200805,   3.4192,   3.0518,   4.1710,   4.0543,   2.9744,   3.6925
200806,  -8.7993,  -9.8704, -10.0409, -12.9184, -10.3874,  -8.5058
200807,   0.0646,   3.9430,   2.2524,  -1.2489,  -0.6905,  -2.1760
200808,   1.6403,   3.7148,   4.9343,   1.5882,   1.4603,   1.9895
200809, -12.2669,  -6.8859, -10.5934, -13.8707, -11.1028, -12.2211
200810, -22.0405, -18.4401, -23.1706, -22.4055, -21.2838, -20.3560
200811, -15.7525, -14.4055, -14.5437, -13.0313,  -8.2172, -10.1039
200812,   1.8101,   3.7090,   4.3329,   5.0960,   3.9996,   4.2905
200901,   0.2222, -10.1551,  -7.9216,  -6.2575,  -8.1239,  -5.3040
200902, -11.4432, -13.5963, -12.1132, -13.0043, -11.7344,  -9.3754
200903,  13.3633,  12.0835,  13.8603,  13.7943,   9.9517,   9.2651
200904,  21.0316,  21.7799,  27.5278,  22.8353,  19.5535,  18.4603
200905,  12.0189,   7.0487,   8.1352,   8.0374,   6.6794,   6.7993
200906,   6.0219,   2.2582,   2.5393,  -0.6500,   0.2688,  -0.7893
200907,   7.8406,   9.5835,  11.6905,   7.9997,   9.2005,   8.6962
200908,   7.8331,   4.0067,   6.7948,   7.0278,   2.7977,   3.0103
200909,   7.6878,   5.7101,   8.8200,   5.2594,   6.0056,   6.0449
200910,  -8.1770,  -5.2286,  -5.4042,  -6.6903,  -3.5844,  -2.4242
200911,   0.9420,   0.8633,   1.9062,   4.4138,   4.6729,   5.2774
200912,   6.7750,   6.7707,   8.1132,   5.5827,   5.8156,   4.7438
201001,   1.2310,  -1.8553,  -2.0460,  -1.6766,  -3.4311,  -4.0906
201002,   3.6183,   3.3358,   4.6758,   4.1554,   3.8169,   4.9119
201003,   7.9772,   7.9123,   8.6909,   7.0436,   7.3404,   7.0408
201004,   9.9372,   6.7577,   8.2975,   4.0123,   3.2802,   2.8666
201005,  -8.9786,  -7.0811,  -7.5694,  -7.6488,  -6.9590,  -7.3704
201006,  -8.6239,  -7.1547,  -8.1583,  -6.3197,  -5.8398,  -5.9642
201007,   4.9897,   5.5332,   5.9695,   7.1448,   7.1345,   7.0316
201008,  -7.1836,  -7.1274,  -8.4432,  -5.6562,  -4.8203,  -4.2891
201009,  10.7833,  10.1245,  11.6229,  11.4974,  10.5349,  11.1191
201010,   4.5253,   4.2889,   4.8190,   2.9414,   3.5947,   3.7070
201011,   1.6033,   3.0720,   2.6879,   2.3270,   1.8118,   2.1305
201012,  10.0162,   7.0490,   7.3367,   9.6344,   6.8442,   5.8887
201101,   3.0557,   0.6178,  -0.5031,   3.2458,   2.6304,   1.2083
201102,   4.2072,   4.2940,   3.6397,   5.1590,   3.5547,   4.0902
201103,   0.6648,   1.3979,   0.7124,   0.1722,   2.2690,   2.3125
201104,   0.7385,   1.2691,   0.6406,   2.1421,   3.2926,   3.6919
201105,  -2.1882,  -2.4426,  -2.9546,  -2.1185,  -0.7858,  -0.0683
201106,  -3.4530,  -1.4083,  -2.1494,  -3.1810,  -1.7182,  -1.1009
201107,  -2.3459,  -1.5650,  -2.3771,  -4.4686,  -3.5461,  -2.8912
201108, -10.7879,  -8.3205,  -9.3561,  -8.9682,  -6.8881,  -6.5000
201109, -11.3226,  -9.8709, -11.0150, -11.1750,  -9.9047,  -9.5257
201110,  10.5565,  12.3812,  13.0015,  16.3488,  14.0883,  13.9246
201111,  -2.8487,  -0.4556,  -1.5425,  -0.6048,   0.1708,  -0.2982
201112,  -0.1739,   0.8046,   0.6191,  -0.9436,   0.0760,  -0.4854
201201,  10.5726,   7.9012,   8.6626,   7.8544,   5.7874,   7.3604
201202,   4.2514,   3.0380,   2.7550,   5.7543,   4.2816,   4.3002
201203,   3.9154,   3.4601,   2.5869,   1.8889,   1.6215,   1.6608
201204,  -1.8842,  -0.8417,  -1.3416,  -1.9498,  -0.7779,  -0.8738
201205,  -7.0001,  -6.2106,  -6.7412,  -8.6533,  -7.8115,  -7.0258
201206,   3.7808,   4.2314,   4.9508,   3.4773,   2.2883,   2.5260
201207,  -1.1791,  -0.8672,  -1.8185,  -1.6659,   0.6412,  -0.6531
201208,   2.2074,   2.9396,   2.5699,   5.3383,   2.9467,   3.2363
201209,   4.5637,   3.9288,   3.5532,   3.2211,   2.2688,   2.0550
201210,  -3.2043,  -0.5937,  -2.0477,  -0.3282,  -1.3711,  -0.6017
201211,  -0.3305,   0.8936,  -0.4092,   1.4951,   1.5925,   2.5665
201212,   2.4749,   2.4919,   3.4314,   3.1638,   2.5244,   1.9839
201301,   8.1589,   6.6207,   6.6422,   7.1328,   6.7449,   6.8509
201302,   1.0186,   0.9589,   1.4987,   1.0187,   1.0649,   1.7912
201303,   3.9272,   4.2208,   5.7881,   5.1994,   4.0654,   4.7932
201304,  -0.5526,  -0.8689,   0.0728,   1.0186,   0.5739,   0.7818
201305,   5.2981,   4.8045,   5.3440,   3.9748,   3.2565,   3.2645
201306,  -0.2767,   0.1833,   0.4400,  -1.9547,  -0.9858,  -1.3439
201307,   7.4861,   7.1031,   7.8136,   7.0413,   6.4825,   6.4970
201308,  -1.6824,  -2.5585,  -2.2476,  -2.8643,  -2.3792,  -2.4154
201309,   6.2482,   5.3273,   6.3646,   5.5828,   4.6437,   4.7268
201310,   0.8455,   4.3630,   4.0707,   2.5837,   3.5600,   4.5323
201311,   4.9004,   4.4001,   5.2444,   3.2440,   1.9422,   2.8196
201312,   3.3442,   1.4628,   2.0722,   3.7929,   3.2014,   2.5746
201401,   3.3644,  -2.5967,  -4.0502,  -0.7649,  -2.4228,  -4.2891
201402,   4.7064,   3.4853,   4.1393,   5.1809,   5.2348,   5.7705
201403,  -0.9502,   1.9038,   1.6478,  -0.6615,   0.8675,   0.1201
201404,  -6.1213,  -3.2277,  -1.9316,  -2.1402,  -0.8563,  -0.0753
201405,  -1.1865,   0.3091,  -0.2062,   1.9259,   1.3904,   2.2729
201406,   5.3249,   3.5130,   4.0761,   5.9563,   3.6695,   2.5462
201407,  -5.5484,  -4.7134,  -5.1578,  -4.5790,  -3.7220,  -2.4018
201408,   3.9273,   3.5098,   4.8576,   6.5150,   4.4439,   4.7310
201409,  -5.4727,  -4.6214,  -5.1322,  -4.2835,  -3.2997,  -3.4777
201410,   2.0525,   5.7684,   3.7815,   1.7447,   2.9797,   2.2962
201411,  -1.0271,  -0.9084,   0.1799,   0.9684,   1.3826,   2.1089
201412,   2.6040,   2.5250,   2.5349,  -0.8384,   0.8430,  -0.3934
201501,  -3.0164,  -4.7032,  -4.7032,  -2.6382,  -2.8243,  -2.8634
201502,   6.8491,   5.7865,   5.7070,   9.3575,   6.4688,   7.1646
201503,  -0.5968,   1.2302,   1.4595,  -0.7337,  -0.0919,  -0.6423
201504,   0.4229,  -0.6146,   0.6059,   0.4565,   0.4712,   0.4955
201505,   0.9103,   0.5891,  -0.2716,   2.9452,   1.3659,  -0.2797
201506,  -0.1900,   1.5413,   0.8041,  -1.6945,  -2.0283,  -1.7099
201507,  -4.7297,  -2.4401,  -4.3907,   0.6605,   0.0276,   0.5842
201508,  -4.0292,  -3.3010,  -5.3081,  -6.6691,  -5.1177,  -5.5649
201509,  -6.7555,  -3.6841,  -6.3941,  -5.9621,  -3.9172,  -4.2924
201510,   4.2541,   5.4287,   5.8445,   5.6415,   6.5482,   6.8128
201511,   3.4660,   2.8184,   0.2352,   1.7415,   0.4764,  -0.1244
201512,  -5.0859,  -4.3920,  -6.2791,  -3.2079,  -3.3622,  -3.9352
201601, -10.9862,  -6.8336, -10.8719, -12.6804,  -6.2553,  -6.2288
201602,  -0.8597,   0.8362,   2.2362,  -0.4413,   1.4677,   1.7455
201603,   7.4282,   7.8561,  10.4187,   8.0383,   8.9810,   8.7711
201604,   4.3282,   4.3327,   3.5824,   3.8229,   2.0525,   2.0364
201605,   0.3213,  -0.1015,  -0.2093,   3.0037,   1.6283,   1.0668
201606,  -0.0527,   0.0945,   0.1819,  -2.8284,  -0.9629,  -0.5204
201607,   6.4465,   5.3607,   6.4894,   5.2803,   3.5861,   5.0123
201608,   2.9360,   2.0807,   2.7560,   1.2509,   0.4606,   0.6648
201609,   4.0140,   1.5262,   0.7857,   1.8446,   0.4203,  -0.4986
201610,  -8.2329,  -3.1091,  -4.9009,  -4.7234,  -1.4197,  -2.5423
201611,   7.7658,  13.1154,  12.4839,   9.1588,   6.7494,   5.7386
201612,   0.6981,   5.6395,   3.5693,  -0.5993,   1.9112,   1.1796
201701,   2.5336,  -0.6255,  -0.6419,   3.5770,   2.3261,   2.1384
201702,   2.2340,   0.8855,   0.4501,   2.6253,   2.9456,   3.1833
201703,   1.5794,   0.0163,  -0.1989,  -0.3385,  -0.1318,   0.3289
201704,  -0.7909,   1.4105,   2.5980,   0.0376,   1.0664,   1.2581
201705,  -3.4072,  -2.1066,  -1.8377,  -0.6563,   0.8205,   0.2287
201706,   5.5966,   3.5017,   2.3529,   2.1347,   1.9881,   1.2427
201707,  -1.3285,   0.1732,  -0.6689,   2.6351,   1.4417,   1.0100
201708,  -1.8566,  -2.5031,  -2.9266,  -0.7986,  -0.1300,  -0.6625
201709,   9.8638,   7.6979,   6.7172,   4.0636,   3.5342,   3.1545
201710,  -0.7943,   0.6256,   0.4948,   2.0152,   2.4857,   0.9861
201711,   2.8091,   3.2873,   5.7703,   3.3752,   3.0552,   4.8426
201712,   1.9402,  -0.7540,   1.1373,   1.7669,  -0.2177,   2.0267
201801,   3.0702,   1.3651,   1.2558,   4.5003,   4.3154,   4.6668
201802,  -3.7704,  -3.9742,  -3.7838,  -4.2613,  -3.5720,  -4.3259
201803,   0.7535,   2.3683,   2.1742,  -0.1749,  -0.2494,  -0.8542


  Average Value Weighted Returns -- Annual
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
  1964,  19.4291,  15.7020,  19.9316,  22.0573,  15.7708,  15.8236
  1965,  42.8886,  37.4025,  36.7854,  17.1776,   5.5129,  20.2319
  1966,  -7.8273,  -6.8964,  -5.3940,  -8.3993,  -9.2195,  -9.0293
  1967,  78.2314,  67.0361,  80.7951,  25.3995,  15.3739,  32.3228
  1968,  49.1465,  29.2654,  36.4171,  19.1137,  12.4079,   4.6390
  1969, -26.1277, -22.8929, -20.9176, -18.3143, -10.1399,  -1.8263
  1970, -15.3457,  -7.5021, -11.5536,   7.5187,   6.3840,  -3.4423
  1971,  15.6038,  22.3584,  27.4516,  11.8472,  13.0818,  19.8241
  1972,   5.2879,   5.3556,   3.8967,   8.6531,  14.4880,  25.5577
  1973, -29.0594, -33.6010, -41.4435, -12.6354, -14.0233, -18.8171
  1974, -23.2761, -24.1628, -29.5767, -28.8392, -22.1869, -30.8439
  1975,  57.8447,  56.9077,  62.6434,  39.9332,  36.1913,  36.8156
  1976,  52.5559,  47.3304,  45.0856,  28.6328,  25.4286,  23.3418
  1977,  16.5404,  20.8027,  21.5431,  -6.3842,  -4.1077,  -7.0259
  1978,  19.3516,  18.4355,  22.7052,   1.3861,   7.4378,   8.4336
  1979,  48.5971,  37.4216,  45.3746,  21.6103,  18.8438,  20.6160
  1980,  34.3264,  33.0281,  45.5877,  22.6154,  32.9783,  36.6687
  1981,  -4.2962,   7.4939,   4.2918,   2.6655,  -2.6444,  -8.5858
  1982,  25.9788,  29.2918,  30.0788,  34.2281,  16.1183,  21.8778
  1983,  26.7710,  38.2731,  29.8525,  23.6588,  20.7852,  20.6901
  1984, -16.2028,   0.1010,   1.9547,  -4.5396,   8.8793,   7.2158
  1985,  20.0117,  32.6181,  41.4359,  30.6030,  33.7404,  32.1428
  1986,  -1.7825,  11.8179,  11.4340,  16.2191,  19.7568,  17.7745
  1987, -14.1682,  -3.8196,  -7.2887,   1.4355,   0.7939,   6.3720
  1988,  20.1210,  27.0744,  22.8365,  14.4416,  17.1510,  18.2862
  1989,  15.4992,  20.4315,  20.4812,  31.9377,  29.9142,  31.3635
  1990, -24.6528, -14.0110, -19.1696, -10.3943,  -4.5097,  -1.7553
  1991,  46.3523,  45.2308,  55.5506,  28.5631,  23.6096,  42.5166
  1992,   9.4620,  21.7698,  23.4761,   8.4732,   7.5557,   9.3693
  1993,  14.9484,  18.6816,  20.5658,  24.1908,  14.4052,   3.2846
  1994,  -9.7788,   0.4145,  -0.6198,   0.5337,   0.0619,   1.5396
  1995,  33.8638,  25.1559,  30.6773,  36.3753,  31.6104,  42.5369
  1996,  10.3698,  22.4195,  24.3006,  10.9070,  19.3883,  26.5843
  1997,  16.2524,  32.2414,  27.7612,  26.9715,  30.2241,  35.0055
  1998,  -3.8080,  -2.2958,  -2.3541,  32.4133,  18.9308,  32.1917
  1999,  49.9648,  12.9537,  16.7558,  42.0135,  20.8480,  18.2600
  2000, -17.1854,  15.7621,   9.3971, -29.6360,  -4.0704,  -2.7279
  2001,   2.4679,  19.6396,  21.3062, -25.8942, -15.0989,  -5.3045
  2002, -31.9151,  -5.2879,  -5.9323, -33.7908, -19.5905, -19.0637
  2003,  70.9370,  42.0113,  47.4726,  39.9700,  35.0389,  21.4269
  2004,  11.5429,  23.1482,  27.5909,  11.1366,  10.2334,  11.7541
  2005,   2.6603,   7.3532,   8.0890,   6.5960,   7.4211,   4.6172
  2006,  14.4705,  19.2275,  19.2511,  15.2410,  15.4441,  15.5086
  2007,  -2.3795,  -0.9015,  -2.7834,   3.8886,   1.1820,  12.1668
  2008, -41.3575, -28.9813, -31.2700, -48.8684, -40.7410, -28.9564
  2009,  35.9338,  25.6276,  46.7007,  30.6598,  27.5431,  27.0288
  2010,  29.5790,  27.7794,  28.5834,  18.3175,  15.2959,  15.4157
  2011, -11.6319,  -0.8023,  -4.5496, -13.0365,   2.8212,   5.1419
  2012,  17.9069,  17.8803,  17.1758,  22.4767,  17.8236,  12.9282
  2013,  42.3268,  40.5281,  46.8987,  42.2005,  34.9354,  31.0267
  2014,   4.8857,   3.3718,   5.0005,  11.4797,  11.6477,  13.5914
  2015,  -4.9125,  -3.9745,  -7.2061,  -1.2592,   2.0381,  -0.3876
  2016,  13.6368,  32.3117,  21.7648,  11.1189,  14.1092,  11.5562
  2017,  16.7639,  12.3802,  19.9012,  15.1903,  22.2726,  26.9060


  Average Equal Weighted Returns -- Annual
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
  1964,  22.5233,  18.0172,  18.3753,  21.9602,  17.3511,  13.9159
  1965,  49.2124,  40.3542,  44.5582,  25.7806,  16.8451,  27.0584
  1966,  -5.9225,  -6.8843,  -7.4765,  -7.4509,  -6.8113,  -4.7209
  1967, 109.7016,  89.8906, 100.5604,  40.6151,  25.7847,  33.4819
  1968,  63.7253,  37.9355,  41.5719,  25.6398,  15.3911,  13.9974
  1969, -32.8907, -26.8167, -28.0359, -17.4325, -13.8167, -11.9524
  1970, -18.8151,  -9.2508, -14.7263,   1.4218,   3.1148,  -6.1585
  1971,  17.1021,  24.9517,  25.6963,  14.1068,  13.7557,  24.8245
  1972,   3.1083,   5.0974,  -2.1319,   5.7120,   8.2659,  15.4791
  1973, -33.4656, -36.9169, -44.2443, -16.8875, -24.8878, -31.7089
  1974, -19.0022, -21.6568, -25.9937, -24.0055, -24.2201, -31.0769
  1975,  82.8871,  72.5449,  76.9053,  48.7520,  49.8859,  53.3554
  1976,  56.0274,  52.5579,  53.0044,  36.6100,  34.1785,  31.2337
  1977,  28.7149,  27.9471,  28.1098,  -2.6868,  -0.5753,   1.7209
  1978,  32.4420,  26.0048,  31.9896,   6.1808,   8.2316,  11.1410
  1979,  48.0239,  41.4054,  47.9100,  25.4163,  26.7458,  31.5816
  1980,  43.5804,  38.4814,  50.7625,  19.9434,  33.7530,  41.5378
  1981,  -3.2036,   8.5753,   3.4299,   5.5784,   3.4831,   1.3710
  1982,  22.8616,  33.7896,  31.1755,  29.4172,  22.6254,  20.4417
  1983,  42.8497,  43.8454,  33.6415,  25.6354,  25.6943,  20.0436
  1984, -20.7151,  -3.2679,  -7.4415,  -7.8362,   3.5189,   5.6679
  1985,  15.9371,  28.7508,  32.2951,  26.0420,  32.8946,  37.3183
  1986,   1.4219,   7.5890,   4.3555,  12.7124,  18.8468,  19.4881
  1987, -11.7105,  -4.5630, -12.7521,   0.7142,   2.3369,   1.4333
  1988,  16.1927,  28.6296,  27.6281,  18.7520,  21.6992,  20.7580
  1989,   7.2604,  14.8710,  17.4528,  28.3702,  27.8812,  24.2009
  1990, -22.5008, -17.6470, -23.1305, -14.6471,  -8.0023,  -9.3708
  1991,  64.3265,  49.7526,  57.9986,  34.9517,  36.2698,  45.1489
  1992,  32.2373,  27.3244,  27.0306,  16.2795,  13.3009,  18.0478
  1993,  28.5530,  23.1388,  21.7630,  20.4467,  17.1076,   8.2585
  1994, -10.1231,   0.9599,  -3.2521,  -2.3875,  -1.0173,   0.6033
  1995,  32.7597,  27.1629,  31.9202,  33.0091,  32.9953,  36.7816
  1996,  15.0066,  24.9813,  21.8547,   9.7776,  18.4395,  22.6158
  1997,  13.4584,  34.9726,  28.9913,  22.3943,  29.1821,  30.2019
  1998,  -5.1111,  -5.0674,  -7.3264,  13.9551,   5.1163,  10.8001
  1999,  53.7305,  10.5982,  16.3292,  45.6496,   8.3018,  11.4734
  2000, -19.1341,   4.5994,  -1.3632, -27.2037,  18.4323,  16.0983
  2001,  32.2458,  34.7971,  35.9380, -13.6307,   9.9741,   6.9856
  2002, -18.9953,   4.6261,  -2.1286, -39.6522, -13.0976, -13.3141
  2003, 108.3694,  53.2869,  60.6353,  51.6894,  39.6076,  35.5922
  2004,  20.7680,  24.0263,  29.3442,  14.3500,  18.4661,  19.0190
  2005,  -0.8205,   7.9132,   9.6967,   7.9975,  10.9606,  11.3322
  2006,  14.9128,  19.8635,  22.9182,  15.1173,  13.5692,  12.8265
  2007, -10.0764,  -7.1433,  -9.9140,   1.1811,   3.3472,   8.5009
  2008, -50.0494, -35.4719, -42.1747, -47.5432, -40.2418, -39.7549
  2009,  79.2411,  42.6290,  76.2553,  53.1359,  44.9013,  50.3661
  2010,  30.6275,  25.1911,  28.1940,  28.3958,  23.6764,  23.2051
  2011, -14.8123,  -4.9354, -12.5115,  -6.8426,   1.3084,   2.5647
  2012,  18.4392,  21.5573,  16.3815,  20.1858,  14.1726,  17.0591
  2013,  45.5555,  41.8949,  51.9471,  41.4908,  36.8106,  40.4175
  2014,   0.7192,   4.3316,   4.0477,   8.5968,  10.5022,   9.0326
  2015,  -9.0603,  -2.4448, -12.8964,  -1.2444,  -2.6978,  -5.0854
  2016,  12.5567,  33.6416,  27.3025,   9.5401,  19.3321,  16.7579
  2017,  19.1885,  11.7833,  13.5823,  22.2707,  20.8506,  21.4755


  Number of Firms in Portfolios
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
196307,    306,    193,    195,     93,    210,    155
196308,    306,    193,    195,     93,    210,    155
196309,    306,    193,    195,     93,    210,    155
196310,    306,    193,    195,     93,    210,    155
196311,    306,    193,    195,     93,    210,    155
196312,    306,    193,    195,     93,    210,    155
196401,    306,    193,    195,     93,    210,    155
196402,    306,    193,    195,     93,    210,    155
196403,    306,    193,    195,     93,    210,    155
196404,    306,    193,    195,     93,    210,    155
196405,    306,    193,    195,     93,    210,    155
196406,    306,    193,    195,     93,    210,    155
196407,    317,    216,    193,    101,    207,    169
196408,    317,    216,    193,    101,    207,    169
196409,    317,    216,    193,    101,    207,    169
196410,    317,    216,    193,    101,    207,    169
196411,    317,    216,    193,    101,    207,    169
196412,    317,    216,    193,    101,    207,    169
196501,    317,    216,    193,    101,    207,    169
196502,    317,    216,    193,    101,    207,    169
196503,    317,    216,    193,    101,    207,    169
196504,    317,    216,    193,    101,    207,    169
196505,    317,    216,    193,    101,    207,    169
196506,    317,    216,    193,    101,    207,    169
196507,    358,    227,    220,     99,    235,    177
196508,    358,    227,    220,     99,    235,    177
196509,    358,    227,    220,     99,    235,    177
196510,    357,    227,    220,     99,    235,    177
196511,    357,    226,    220,     99,    235,    177
196512,    357,    226,    220,     99,    235,    177
196601,    357,    226,    220,     99,    235,    177
196602,    357,    226,    220,     99,    235,    177
196603,    357,    226,    220,     99,    235,    177
196604,    357,    226,    220,     99,    235,    177
196605,    357,    226,    220,     99,    235,    177
196606,    357,    226,    220,     99,    235,    177
196607,    386,    229,    253,    115,    241,    173
196608,    386,    229,    253,    115,    241,    173
196609,    386,    229,    253,    115,    241,    173
196610,    385,    229,    253,    115,    241,    173
196611,    385,    229,    253,    115,    241,    173
196612,    385,    229,    253,    115,    241,    173
196701,    385,    229,    253,    115,    241,    173
196702,    385,    229,    253,    115,    241,    173
196703,    385,    229,    253,    115,    241,    173
196704,    385,    229,    253,    115,    241,    173
196705,    385,    229,    253,    114,    241,    173
196706,    384,    229,    253,    113,    241,    173
196707,    383,    276,    285,    121,    238,    185
196708,    382,    276,    285,    121,    238,    185
196709,    381,    276,    285,    121,    238,    185
196710,    381,    276,    285,    121,    238,    185
196711,    381,    276,    285,    121,    238,    185
196712,    381,    276,    284,    121,    238,    185
196801,    379,    276,    284,    121,    237,    185
196802,    379,    276,    284,    121,    237,    185
196803,    379,    276,    284,    121,    237,    185
196804,    378,    276,    284,    121,    237,    184
196805,    378,    276,    284,    121,    237,    184
196806,    378,    276,    284,    121,    237,    183
196807,    414,    308,    329,    124,    232,    188
196808,    413,    307,    329,    124,    232,    188
196809,    413,    307,    329,    124,    231,    188
196810,    413,    307,    329,    124,    231,    188
196811,    413,    307,    329,    124,    231,    188
196812,    413,    307,    329,    124,    230,    188
196901,    412,    307,    329,    124,    230,    188
196902,    411,    307,    329,    124,    230,    188
196903,    411,    307,    329,    124,    230,    188
196904,    410,    307,    329,    124,    230,    187
196905,    410,    307,    329,    124,    230,    187
196906,    409,    307,    329,    124,    230,    187
196907,    471,    394,    326,    145,    244,    198
196908,    470,    392,    326,    145,    244,    198
196909,    470,    392,    326,    145,    244,    198
196910,    470,    392,    326,    145,    244,    198
196911,    470,    392,    326,    145,    244,    198
196912,    470,    392,    326,    145,    244,    198
197001,    469,    392,    326,    145,    244,    198
197002,    469,    392,    326,    145,    244,    198
197003,    469,    392,    325,    145,    244,    198
197004,    467,    390,    325,    145,    244,    198
197005,    464,    389,    325,    145,    244,    198
197006,    462,    389,    325,    145,    243,    198
197007,    505,    438,    359,    147,    252,    206
197008,    504,    436,    359,    147,    251,    206
197009,    504,    436,    359,    147,    251,    206
197010,    502,    435,    359,    147,    251,    206
197011,    501,    435,    358,    146,    251,    206
197012,    498,    434,    358,    146,    251,    206
197101,    497,    433,    357,    146,    251,    205
197102,    495,    433,    357,    145,    251,    204
197103,    494,    433,    357,    145,    251,    204
197104,    493,    432,    357,    145,    251,    204
197105,    489,    432,    355,    145,    251,    203
197106,    485,    432,    354,    144,    251,    203
197107,    558,    476,    348,    132,    258,    232
197108,    557,    475,    348,    132,    258,    232
197109,    556,    475,    348,    132,    258,    232
197110,    556,    475,    348,    132,    258,    232
197111,    555,    475,    347,    132,    258,    232
197112,    554,    474,    346,    132,    258,    232
197201,    551,    473,    345,    132,    258,    232
197202,    550,    473,    345,    132,    258,    232
197203,    548,    473,    344,    132,    258,    232
197204,    545,    473,    344,    132,    258,    231
197205,    544,    473,    344,    132,    258,    231
197206,    544,    472,    343,    132,    258,    231
197207,    591,    484,    378,    138,    269,    259
197208,    589,    483,    377,    138,    268,    259
197209,    587,    483,    377,    138,    268,    259
197210,    587,    482,    376,    138,    268,    259
197211,    585,    481,    376,    138,    268,    259
197212,    585,    480,    376,    138,    268,    259
197301,    584,    479,    374,    138,    268,    259
197302,    583,    477,    374,    138,    266,    259
197303,    582,    476,    373,    138,    266,    259
197304,    581,    475,    372,    138,    266,    259
197305,    574,    475,    370,    138,    266,    258
197306,    572,    475,    370,    138,    266,    257
197307,    937,    818,    846,    193,    353,    290
197308,    933,    815,    844,    193,    352,    290
197309,    930,    813,    844,    192,    352,    290
197310,    928,    813,    843,    192,    352,    290
197311,    920,    811,    843,    191,    352,    290
197312,    916,    809,    843,    191,    352,    290
197401,    909,    808,    840,    191,    351,    290
197402,    907,    807,    837,    191,    351,    289
197403,    901,    805,    837,    191,    351,    289
197404,    899,    802,    835,    191,    351,    289
197405,    893,    800,    832,    191,    350,    289
197406,    889,    797,    827,    190,    350,    289
197407,    911,    856,    852,    194,    340,    292
197408,    908,    852,    848,    194,    340,    291
197409,    904,    852,    842,    194,    339,    291
197410,    901,    851,    836,    194,    339,    291
197411,    897,    851,    833,    194,    339,    291
197412,    893,    849,    830,    194,    338,    291
197501,    887,    848,    830,    194,    338,    291
197502,    885,    847,    829,    194,    338,    290
197503,    883,    846,    829,    194,    338,    290
197504,    882,    844,    828,    194,    338,    290
197505,    881,    843,    828,    193,    338,    290
197506,    870,    840,    822,    193,    338,    289
197507,   1108,    936,    952,    194,    336,    277
197508,   1107,    936,    949,    194,    335,    277
197509,   1105,    936,    947,    194,    335,    277
197510,   1101,    934,    945,    194,    335,    277
197511,   1097,    932,    944,    194,    335,    277
197512,   1093,    928,    939,    194,    335,    277
197601,   1088,    925,    936,    194,    335,    277
197602,   1087,    922,    935,    192,    335,    277
197603,   1081,    921,    932,    192,    335,    277
197604,   1078,    920,    925,    192,    335,    277
197605,   1075,    916,    924,    191,    334,    277
197606,   1074,    915,    920,    191,    333,    277
197607,   1169,    943,    948,    172,    340,    291
197608,   1166,    937,    944,    172,    340,    291
197609,   1162,    934,    941,    172,    340,    291
197610,   1160,    933,    939,    172,    340,    291
197611,   1155,    931,    937,    172,    340,    291
197612,   1151,    928,    932,    172,    340,    290
197701,   1146,    924,    926,    171,    340,    290
197702,   1144,    923,    923,    171,    339,    288
197703,   1142,    918,    922,    171,    338,    288
